trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,1,0.75,Incorrect,10.323322,
1,2,1,0.75,Incorrect,10.340555,
1,2,1,0.75,Incorrect,10.357529,
1,2,1,0.75,Incorrect,10.374623,
1,2,1,0.75,Incorrect,10.391832,
1,2,1,0.75,Incorrect,10.408591,
1,2,1,0.75,Incorrect,10.425691,
1,2,1,0.75,Incorrect,10.443316,
1,2,1,0.75,Incorrect,10.460036,
1,2,1,0.75,Incorrect,10.476876,
1,2,1,0.75,Incorrect,10.493971,
1,2,1,0.75,Incorrect,10.510898,
1,2,1,0.75,Incorrect,10.527752,
1,2,1,0.75,Incorrect,10.544344,
1,2,1,0.75,Incorrect,10.56107,
1,2,1,0.75,Incorrect,10.578123,
1,2,1,0.75,Incorrect,10.595211,
1,2,1,0.75,Incorrect,10.612186,
1,2,1,0.75,Incorrect,10.628974,
1,2,1,0.75,Incorrect,10.645579,
1,2,1,0.75,Incorrect,10.66254,
1,2,1,0.75,Incorrect,10.68042,
1,2,1,0.75,Incorrect,10.697376,
1,2,1,0.75,Incorrect,10.713757,
1,2,1,0.75,Incorrect,10.730322,
1,2,1,0.75,Incorrect,10.747121,
1,2,1,0.75,Incorrect,10.764868,
1,2,1,0.75,Incorrect,10.781429,
1,2,1,0.75,Incorrect,10.798416,
1,2,1,0.75,Incorrect,10.815095,
1,2,1,0.75,Incorrect,10.83181,
1,2,1,0.75,Incorrect,10.848593,
1,2,1,0.75,Incorrect,10.865287,
1,2,1,0.75,Incorrect,10.88274,
1,2,1,0.75,Incorrect,10.899417,
1,2,1,0.75,Incorrect,10.915802,
1,2,1,0.75,Incorrect,10.932465,
1,2,1,0.75,Incorrect,10.949821,
1,2,1,0.75,Incorrect,10.966438,
1,2,1,0.75,Incorrect,10.98357,
1,2,1,0.75,Incorrect,10.999947,
1,2,1,0.75,Incorrect,11.016879,
1,2,1,0.75,Incorrect,11.033972,
1,2,1,0.75,Incorrect,11.050319,
1,2,1,0.75,Incorrect,11.067814,
1,2,1,0.75,Incorrect,11.085095,
1,2,1,0.75,Incorrect,11.102439,
1,2,1,0.75,Incorrect,11.119924,
1,2,1,0.75,Incorrect,11.136611,
1,2,1,0.75,Incorrect,11.153629,
1,2,1,0.75,Incorrect,11.170662,
1,2,1,0.75,Incorrect,11.187287,
1,2,1,0.75,Incorrect,11.203999,
1,2,1,0.75,Incorrect,11.221352,
1,2,1,0.75,Incorrect,11.238405,
1,2,1,0.75,Incorrect,11.255696,
1,2,1,0.75,Incorrect,11.272426,
1,2,1,0.75,Incorrect,11.289294,
1,2,1,0.75,Incorrect,11.307956,
1,2,1,0.75,Incorrect,11.323701,
1,2,1,0.75,Incorrect,11.341176,
1,2,1,0.75,Incorrect,11.358171,
1,2,1,0.75,Incorrect,11.374854,
1,2,1,0.75,Incorrect,11.391871,
1,2,1,0.75,Incorrect,11.408921,
1,2,1,0.75,Incorrect,11.425538,
1,2,1,0.75,Incorrect,11.443429,
1,2,1,0.75,Incorrect,11.45972,
1,2,1,0.75,Incorrect,11.476237,
1,2,1,0.75,Incorrect,11.493841,
1,2,1,0.75,Incorrect,11.511193,
1,2,1,0.75,Incorrect,11.528112,
1,2,1,0.75,Incorrect,11.54489,
1,2,1,0.75,Incorrect,11.562033,
1,2,1,0.75,Incorrect,11.579182,
1,2,1,0.75,Incorrect,11.596204,
1,2,1,0.75,Incorrect,11.613317,
1,2,1,0.75,Incorrect,11.630189,
1,2,1,0.75,Incorrect,11.647536,
1,2,1,0.75,Incorrect,11.664851,
1,2,1,0.75,Incorrect,11.68159,
1,2,1,0.75,Incorrect,11.698247,
1,2,1,0.75,Incorrect,11.714894,
1,2,1,0.75,Incorrect,11.731834,
1,2,1,0.75,Incorrect,11.748725,
1,2,1,0.75,Incorrect,11.765527,
1,2,1,0.75,Incorrect,11.782202,
1,2,1,0.75,Incorrect,11.799357,
1,2,1,0.75,Incorrect,11.815743,
1,2,1,0.75,Incorrect,11.832965,
1,2,1,0.75,Incorrect,11.85012,
1,2,1,0.75,Incorrect,11.867473,
1,2,1,0.75,Incorrect,11.885194,
1,2,1,0.75,Incorrect,11.902381,
1,2,1,0.75,Incorrect,11.919089,
1,2,1,0.75,Incorrect,11.93609,
1,2,1,0.75,Incorrect,11.952967,
1,2,1,0.75,Incorrect,11.969919,
1,2,1,0.75,Incorrect,11.986818,
1,2,1,0.75,Incorrect,12.003794,
1,2,1,0.75,Incorrect,12.020794,
1,2,1,0.75,Incorrect,12.037665,
1,2,1,0.75,Incorrect,12.055025,
1,2,1,0.75,Incorrect,12.072052,
1,2,1,0.75,Incorrect,12.089081,
1,2,1,0.75,Incorrect,12.1065,
1,2,1,0.75,Incorrect,12.123129,
1,2,1,0.75,Incorrect,12.14017,
1,2,1,0.75,Incorrect,12.157457,
1,2,1,0.75,Incorrect,12.174206,
1,2,1,0.75,Incorrect,12.191231,
1,2,1,0.75,Incorrect,12.207864,
1,2,1,0.75,Incorrect,12.224693,
1,2,1,0.75,Incorrect,12.241407,
1,2,1,0.75,Incorrect,12.258017,
1,2,1,0.75,Incorrect,12.274827,
1,2,1,0.75,Incorrect,12.292378,
1,2,1,0.75,Incorrect,12.309314,
1,2,1,0.75,Incorrect,12.326374,
1,2,1,0.75,Incorrect,12.343671,
1,2,1,0.75,Incorrect,12.360314,
1,2,1,0.75,Incorrect,12.377685,
1,2,1,0.75,Incorrect,12.394128,
1,2,1,0.75,Incorrect,12.411011,
1,2,1,0.75,Incorrect,12.428987,
1,2,1,0.75,Incorrect,12.445237,
1,2,1,0.75,Incorrect,12.462999,
1,2,1,0.75,Incorrect,12.479521,
1,2,1,0.75,Incorrect,12.496375,
1,2,1,0.75,Incorrect,12.513314,
1,2,1,0.75,Incorrect,12.530579,
1,2,1,0.75,Incorrect,12.547182,
1,2,1,0.75,Incorrect,12.564228,
1,2,1,0.75,Incorrect,12.580805,
1,2,1,0.75,Incorrect,12.597476,
1,2,1,0.75,Incorrect,12.614731,
